distance,p,K,Delta,source,status,shots,fail_total,logical_fail,syndrome_fail,exception_fail,fer,fer_lo95,fer_hi95,mean_states_total,joint_matrix_rows,joint_matrix_cols
9,0.07,1024,10.0,d9 K1024 complete,final,200000,1042,1042,0,0,0.00521,0.004903850040261788,0.005535156748768139,29.943687777777786,80,81
9,0.08,1024,10.0,d9 K1024 complete,final,200000,1899,1899,0,0,0.009495,0.0090793012146267,0.009929540971054345,40.91351265432099,80,81
9,0.09,1024,10.0,d9 K1024 complete,final,200000,3482,3482,0,0,0.01741,0.01684598318268791,0.017992554957367367,55.16761012345679,80,81
9,0.1,1024,10.0,d9 K1024 complete,final,187000,5017,5017,0,0,0.026828877005347595,0.026106182460203173,0.027571011444025177,76.98829682445368,80,81
9,0.11,1024,10.0,d9 K1024 complete,final,124000,5014,5014,0,0,0.040435483870967744,0.039353278806386026,0.04154616221739934,102.76822301871765,80,81
9,0.12,1024,10.0,d9 K1024 complete,final,87000,5044,5044,0,0,0.05797701149425288,0.056443526662591385,0.05954952938651662,135.10061231729813,80,81
9,0.13,1024,10.0,d9 K1024 complete,final,64000,5051,5051,0,0,0.078921875,0.07685821824199036,0.08103607729529662,174.6661076388889,80,81
9,0.14,1024,10.0,d9 K1024 complete+highest-K CI-width top-up to 0.005 seed20260750+,final,59000,6343,6343,0,0,0.10750847457627119,0.10503452262993912,0.11003353302669211,225.50623456790126,80,81
9,0.15,1024,10.0,d9 K1024 complete+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,73000,10069,10069,0,0,0.13793150684931507,0.13544911675788696,0.1404520009960618,288.03995991882294,80,81
9,0.16,1024,10.0,d9 K1024 complete+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,88000,15091,15091,0,0,0.17148863636363637,0.16901256317244664,0.17399338927731597,362.06315782828284,80,81
9,0.17,1024,10.0,d9 K1024 complete+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,103000,21924,21924,0,0,0.21285436893203882,0.2103653415487212,0.2153648141207832,447.82858612010074,80,81
9,0.1725,1024,10.0,d9 K1024 complete,final,452000,100176,100176,0,0,0.2216283185840708,0.22041985209311782,0.22284151668680635,469.9024980334317,80,81
9,0.175,1024,10.0,d9 K1024 complete,final,435000,100166,100166,0,0,0.23026666666666668,0.2290179601901372,0.23152013709879293,493.6787260962111,80,81
9,0.1775,1024,10.0,d9 K1024 complete,final,416000,100228,100228,0,0,0.24093269230769232,0.23963554902776238,0.24223462014148991,518.7230007716049,80,81
9,0.18,1024,10.0,d9 K1024 complete,final,398000,100131,100131,0,0,0.2515854271356784,0.2502397344229719,0.25293591515060415,544.2259931137168,80,81
9,0.1825,1024,10.0,d9 K1024 complete,final,384000,100237,100237,0,0,0.2610338541666667,0.2596471187158416,0.26242537070824984,569.1351039094649,80,81
9,0.185,1024,10.0,d9 K1024 complete,final,368000,100234,100234,0,0,0.272375,0.27093904146998826,0.2738157107198834,595.6366478126677,80,81
9,0.1875,1024,10.0,d9 K1024 complete,final,353000,100011,100011,0,0,0.28331728045325777,0.2818331589514201,0.28480611792498883,621.167987724268,80,81
9,0.19,1024,10.0,d9 K1024 complete,final,342000,100003,100003,0,0,0.292406432748538,0.2908842958029698,0.29393323316301123,648.3245973214933,80,81
13,0.07,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 lowp extra seed20260617,final,220000,218,218,0,0,0.000990909090909091,0.0008678614176842067,0.001131383031431568,40.62820172135557,168,169
13,0.08,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 lowp extra seed20260617,final,220000,482,482,0,0,0.002190909090909091,0.0020040330669497458,0.0023951694760742607,59.074320118343195,168,169
13,0.09,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 lowp extra seed20260617,final,220000,1168,1168,0,0,0.005309090909090909,0.005013946147224525,0.005621511139818598,84.46243090371168,168,169
13,0.1,4096,10.0,d13 K4096 current,final,20000,188,188,0,0,0.0094,0.008153673188130088,0.010834752590119772,128.63240236686391,168,169
13,0.11,4096,10.0,d13 K4096 current,final,20000,375,375,0,0,0.01875,0.0169604757102542,0.0207243589937465,187.19244171597634,168,169
13,0.12,4096,10.0,d13 K4096 current,final,20000,616,616,0,0,0.0308,0.028494136695972925,0.03328606993907565,265.5673124260355,168,169
13,0.13,4096,10.0,d13 K4096 current+highest-K CI-width top-up to 0.005 seed20260750+,final,30000,1504,1504,0,0,0.050133333333333335,0.04772107042219156,0.0526607911122506,374.48084142011834,168,169
13,0.14,4096,10.0,d13 K4096 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,45000,3498,3498,0,0,0.07773333333333333,0.07529536824940897,0.08024338648613227,529.0971872452334,168,169
13,0.15,4096,10.0,d13 K4096 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,60000,6493,6493,0,0,0.10821666666666667,0.10575599884903872,0.11072749859062664,742.013414102564,168,169
13,0.16,4096,10.0,d13 K4096 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,79000,11730,11730,0,0,0.14848101265822786,0.1460185887033502,0.15097762091831476,1023.5058817317054,168,169
13,0.17,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,38661,38661,0,0,0.193305,0.19158024697280196,0.19504153436304061,1397.4206426627222,168,169
13,0.1725,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,41053,41053,0,0,0.205265,0.20350055295264965,0.20704076895354237,1502.6825992307693,168,169
13,0.175,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,43688,43688,0,0,0.21844,0.21663457613268056,0.2202562396710327,1618.374731627219,168,169
13,0.1775,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,45843,45843,0,0,0.229215,0.22737807721369044,0.23106232468078494,1734.0386526331358,168,169
13,0.18,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,48428,48428,0,0,0.24214,0.24026754672398212,0.24402235867147712,1857.3547254142015,168,169
13,0.1825,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,51286,51286,0,0,0.25643,0.254520970699527,0.2583483857620102,1990.251974142012,168,169
13,0.185,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,53865,53865,0,0,0.269325,0.26738527724987077,0.2712735838650658,2124.661578254438,168,169
13,0.1875,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,56409,56409,0,0,0.282045,0.28007704636431613,0.28402132612644354,2255.7406700591714,168,169
13,0.19,4096,10.0,d13 K4096 current+d13/d17 K4096/K8192 highp top-up seed20260627,final,200000,59228,59228,0,0,0.29614,0.2941430337298305,0.29814479731770815,2399.4940205325443,168,169
17,0.07,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 lowp extra seed20260617+d17 K8192 p0.07 extra seed20260623,final,1240000,248,248,0,0,0.0002,0.00017661119621624756,0.0002264855056719082,52.73626337481863,288,289
17,0.08,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 lowp extra seed20260617,final,240000,141,141,0,0,0.0005875,0.0004982217635167738,0.0006927652518712202,80.12941226931949,288,289
17,0.09,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 lowp extra seed20260617,final,240000,386,386,0,0,0.0016083333333333334,0.0014557959236084922,0.0017768250798924506,120.19963644752016,288,289
17,0.1,8192,10.0,d17 K8192 complete,final,40000,166,166,0,0,0.00415,0.00356585055815737,0.0048293796640802595,195.15065510380623,288,289
17,0.11,8192,10.0,d17 K8192 complete,final,40000,361,361,0,0,0.009025,0.008144220647712318,0.010000073308853413,298.5292056228373,288,289
17,0.12,8192,10.0,d17 K8192 complete,final,40000,670,670,0,0,0.01675,0.015537966370942874,0.018054843964635095,451.07623615916947,288,289
17,0.13,8192,10.0,d17 K8192 complete,final,40000,1285,1285,0,0,0.032125,0.030441405585410867,0.03389845191227881,676.3365980103806,288,289
17,0.14,8192,10.0,d17 K8192 complete,final,40000,2141,2141,0,0,0.053525,0.051361839834502036,0.055773907696956164,1010.8872633217992,288,289
17,0.15,8192,10.0,d17 K8192 complete+highest-K CI-width top-up to 0.005 seed20260750+,final,48000,4067,4067,0,0,0.08472916666666666,0.08227101807633007,0.0872537785131597,1511.7377023500574,288,289
17,0.16,8192,10.0,d17 K8192 complete+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,69000,8691,8691,0,0,0.12595652173913044,0.12350161261209139,0.1284530770292964,2208.581051301339,288,289
17,0.17,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01725_s20000_seed20260711_cleps_v1,final,220000,39557,39557,0,0,0.17980454545454547,0.17820543355803953,0.18141483913446987,3183.0360952658066,288,289
17,0.1725,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01725_s20000_seed20260721_cleps_v1,partial,182000,35244,35244,0,0,0.19364835164835165,0.19183938680668505,0.1954702484944459,3461.438617666071,288,289
17,0.175,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260630_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260631_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260632_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260633_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260634_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01775_s20000_seed20260712_cleps_v1,final,220000,45752,45752,0,0,0.20796363636363635,0.206272831887001,0.20966463925915038,3759.5051058823533,288,289
17,0.1775,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01775_s20000_seed20260722_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0180_s20000_seed20260713_cleps_v1,partial,188000,41699,41699,0,0,0.2218031914893617,0.21993087693505803,0.2236868747643857,4065.6229265810202,288,289
17,0.18,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0180_s20000_seed20260723_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0185_s20000_seed20260714_cleps_v1,partial,169000,40036,40036,0,0,0.23689940828402367,0.2348782913524349,0.23893248577319567,4402.9215983292725,288,289
17,0.1825,8192,10.0,d17 K8192 complete+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260640_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260641_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260642_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260643_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260644_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260645_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260646_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260647_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260648_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260649_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260715_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260716_cleps_v1,final,280000,70789,70789,0,0,0.25281785714285715,0.25121140289656313,0.2544310937248367,4739.106807600099,288,289
17,0.185,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0185_s20000_seed20260724_cleps_v1,partial,139000,37212,37212,0,0,0.26771223021582735,0.2653910336129984,0.2700462656566743,5087.293140549152,288,289
17,0.1875,8192,10.0,d17 K8192 complete+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260660_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260661_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260662_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260663_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260664_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260665_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260666_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260667_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260668_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260669_cleps_v1,final,240000,68493,68493,0,0,0.2853875,0.2835842079558376,0.28719766214320874,5451.924234111881,288,289
17,0.19,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260725_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260726_cleps_v1,partial,143000,42570,42570,0,0,0.2976923076923077,0.29532788106668634,0.300067603349994,5824.0769995402525,288,289
21,0.07,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619+d21 K16384 p0.07 extra seed20260623+d21 K16384 p0.07 extra seed20260624+d21 K16384 p0.07 extra seed20260625+d21 K16384 p0.07 extra seed20260626,final,5040000,178,178,0,0,3.531746031746032e-05,3.0496318488771598e-05,4.0900741938178136e-05,66.49514636288374,440,441
21,0.08,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619,final,1040000,171,171,0,0,0.00016442307692307692,0.00014155823273347696,0.00019098040321577096,104.79342530961105,440,441
21,0.09,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619,final,1040000,516,516,0,0,0.0004961538461538461,0.00045516036675904953,0.0005408373570260013,164.10887773199022,440,441
21,0.1,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260620,final,1040000,1609,1609,0,0,0.0015471153846153846,0.0014733977747056932,0.0016245152621359735,281.0826493502529,440,441
21,0.11,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260620,final,1040000,4354,4354,0,0,0.004186538461538461,0.004064263368780085,0.004312476323450795,451.47268019143513,440,441
21,0.12,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,375,375,0,0,0.009375,0.008476579007456193,0.010367647730035661,707.8888091269841,440,441
21,0.13,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,788,788,0,0,0.0197,0.018383551959977276,0.02110869181483513,1120.5370520975057,440,441
21,0.14,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,1542,1542,0,0,0.03855,0.03670722205010537,0.040481401497442386,1762.4719048752834,440,441
21,0.15,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,2745,2745,0,0,0.068625,0.0661886513624983,0.07114419614605824,2778.5747254535145,440,441
21,0.16,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618,final,60000,6479,6479,0,0,0.10798333333333333,0.10552503653257041,0.11049182411652851,4256.8072483371125,440,441
21,0.17,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,86000,14426,14426,0,0,0.16774418604651162,0.16526185154601958,0.17025620171020733,6348.436938538205,440,441
21,0.1725,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,92000,16614,16614,0,0,0.18058695652173912,0.17811460864839934,0.18308597745641764,6975.434861505472,440,441
21,0.175,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260630_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260631_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260632_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260633_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p0175_s20000_seed20260634_cleps_v1,final,150000,29831,29831,0,0,0.19887333333333335,0.19686110273701335,0.20090098707720155,7648.919779697657,440,441
21,0.1775,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260680_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260681_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260682_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260683_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260684_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260701_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260702_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p01775_s30000_seed20260703_cleps_v1,partial,230000,49703,49703,0,0,0.2161,0.21442268741046086,0.21778679582383878,8346.669320003944,440,441
21,0.18,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260690_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260691_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260692_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260693_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260694_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260704_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0180_s30000_seed20260705_cleps_v1,partial,218000,50724,50724,0,0,0.2326788990825688,0.23090989137294543,0.23445732775463224,9061.205098691464,440,441
21,0.1825,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260640_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260641_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260642_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260643_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260644_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260645_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260646_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260647_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260648_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01825_s20000_seed20260649_cleps_v1,partial,244000,61127,61127,0,0,0.2505204918032787,0.24880511654388143,0.2522437223919332,9849.161717464034,440,441
21,0.185,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260700_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260701_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260702_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260703_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260704_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260706_cleps_v1+d21 K16384 highp balance extra 20260616_surface_fig3_d21_k16384_highp_balance_p0185_s30000_seed20260707_cleps_v1,partial,208000,55443,55443,0,0,0.2665528846153846,0.2646570383490746,0.26845735358283584,10634.912441337432,440,441
21,0.1875,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260660_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260661_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260662_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260663_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260664_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260665_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260666_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260667_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260668_cleps_v1+d21 K16384 highp overlap extra 20260616_surface_fig3_d21_k16384_highp_overlap_p01875_s20000_seed20260669_cleps_v1,partial,243000,69992,69992,0,0,0.2880329218106996,0.28623577193342353,0.28983677333349145,11465.481312579903,440,441
21,0.19,16384,10.0,d21 K16384 current+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750++d21 K16384 extra seed20260618+d21 K16384 highp extra seed20260621+d21 K16384 highp extra seed20260622,final,134000,41222,41222,0,0,0.30762686567164177,0.3051613801782301,0.31010338060220516,12318.425453887026,440,441
